"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"1992年","04000","宮城県","728444","","","","12.2","","26.9","","-1.3","","15","","136","","95",""
"1992年","05000","秋田県","1161268","","","","11.6","","28.6","","-2.0","","12","","194","","163",""
"1992年","06000","山形県","932331","","","","11.7","","30.0","","-3.1","","13","","142","","131",""
"1992年","07000","福島県","1378151","","","","12.9","","29.8","","-1.7","","15","","149","","94",""
"1992年","08000","茨城県","609338","","","","13.5","","29.3","","-1.5","","40","","132","","101",""
"1992年","09000","栃木県","640828","","","","13.6","","30.0","","-1.8","","37","","156","","110",""
"1992年","10000","群馬県","636318","","","","14.4","","30.3","","-0.4","","47","","128","","94",""
"1992年","11000","埼玉県","379733","","","","14.7","","31.2","","0.0","","49","","145","","96",""
"1992年","12000","千葉県","515578","","","","15.6","","30.3","","2.4","","46","","158","","101",""
"1992年","13000","東京都","218328","","","","16.0","","30.4","","3.1","","38","","140","","104",""
"1992年","14000","神奈川県","241281","","","","15.6","","30.1","","2.8","","23","","142","","117",""
"1992年","15000","新潟県","1258167","","","","13.8","","30.2","","0.0","","11","","187","","172",""
"1992年","16000","富山県","424614","","","","13.9","","29.8","","0.0","","16","","194","","171",""
"1992年","17000","石川県","418464","","","","14.5","","30.3","","1.2","","16","","191","","170",""
"1992年","18000","福井県","418826","","","","14.5","","31.8","","0.5","","18","","201","","162",""
"1992年","19000","山梨県","446537","","","","14.6","","31.7","","-1.8","","43","","120","","90",""
"1992年","20000","長野県","1358500","","","","11.8","","31.0","","-3.9","","19","","129","","107",""
"1992年","21000","岐阜県","1059789","","","","15.8","","31.8","","0.8","","27","","131","","115",""
"1992年","22000","静岡県","777892","","","","16.4","","29.8","","2.3","","51","","140","","115",""
"1992年","23000","愛知県","514732","","","","15.9","","31.8","","1.1","","25","","114","","108",""
"1992年","24000","三重県","577451","","","","15.9","","30.7","","2.2","","31","","120","","114",""
"1992年","25000","滋賀県","401736","","","","14.6","","31.1","","0.7","","15","","165","","131",""
"1992年","26000","京都府","461236","","","","15.9","","32.1","","1.4","","14","","133","","104",""
"1992年","27000","大阪府","189025","","","","16.9","","32.3","","3.2","","17","","135","","99",""
"1992年","28000","兵庫県","838408","","","","16.0","","30.9","","2.2","","22","","129","","96",""
"1992年","29000","奈良県","369040","","","","14.8","","31.6","","-0.2","","20","","144","","111",""
"1992年","30000","和歌山県","472285","","","","16.5","","31.2","","3.0","","15","","122","","102",""
"1992年","31000","鳥取県","350696","","","","15.0","","31.7","","0.9","","11","","180","","147",""
"1992年","32000","島根県","670600","","","","14.9","","30.5","","1.3","","14","","164","","150",""
"1992年","33000","岡山県","711105","","","","15.8","","31.5","","1.2","","23","","139","","97",""
"1992年","34000","広島県","847369","","","","16.3","","31.1","","2.3","","25","","128","","99",""
"1992年","35000","山口県","610935","","","","15.4","","30.5","","0.8","","30","","155","","125",""
"1992年","36000","徳島県","414324","","","","16.5","","30.3","","3.0","","23","","121","","110",""
"1992年","37000","香川県","187504","","","","16.1","","31.2","","1.9","","27","","110","","105",""
"1992年","38000","愛媛県","567420","","","","16.3","","31.0","","2.4","","21","","124","","108",""
"1992年","39000","高知県","710406","","","","16.7","","30.0","","1.9","","38","","124","","121",""
"1992年","40000","福岡県","496597","","","","16.8","","30.2","","4.3","","21","","135","","123",""
"1992年","41000","佐賀県","243892","","","","16.5","","31.4","","2.2","","41","","143","","110",""
"1992年","42000","長崎県","408926","","","","17.1","","30.7","","4.2","","36","","136","","112",""
"1992年","43000","熊本県","740196","","","","16.8","","31.6","","1.2","","32","","140","","110",""
"1992年","44000","大分県","633626","","","","16.2","","30.1","","2.3","","23","","129","","107",""
"1992年","45000","宮崎県","773357","","","","17.6","","31.0","","3.6","","47","","124","","114",""
"1992年","46000","鹿児島県","918538","","","","18.1","","31.2","","3.6","","24","","125","","117",""
"1992年","47000","沖縄県","226523","","","","22.9","","31.2","","13.7","","13","","152","","131",""
"1993年","01000","北海道","7841491","","","","8.7","","24.1","","-5.0","","8","","166","","148",""
"1993年","02000","青森県","960617","","","","10.0","","25.2","","-2.2","","11","","199","","150",""
"1993年","03000","岩手県","1527520","","","","9.7","","25.3","","-3.5","","11","","175","","135",""
"1993年","04000","宮城県","728446","","","","11.8","","24.8","","-0.3","","13","","141","","107",""
"1993年","05000","秋田県","1161268","","","","11.1","","25.6","","-1.1","","9","","214","","191",""
"1993年","06000","山形県","932332","","","","11.2","","26.3","","-1.5","","7","","184","","142",""
"1993年","07000","福島県","1378162","","","","12.3","","26.3","","-0.6","","13","","163","","112",""
"1993年","08000","茨城県","609354","","","","12.9","","26.2","","-1.6","","47","","166","","133",""
"1993年","09000","栃木県","640828","","","","13.0","","27.0","","-1.5","","46","","168","","124",""
"1993年","10000","群馬県","636318","","","","13.9","","27.5","","0.3","","46","","153","","109",""
"1993年","11000","埼玉県","379733","","","","14.2","","28.0","","0.8","","61","","166","","111",""
"1993年","12000","千葉県","515584","","","","15.1","","27.9","","2.7","","52","","179","","122",""
"1993年","13000","東京都","218645","","","","15.5","","28.0","","3.3","","45","","163","","123",""
"1993年","14000","神奈川県","241325","","","","15.1","","27.8","","2.9","","38","","152","","128",""
"1993年","15000","新潟県","1258173","","","","13.2","","26.6","","1.4","","6","","205","","179",""
"1993年","16000","富山県","424615","","","","13.3","","27.1","","0.8","","8","","219","","178",""
"1993年","17000","石川県","418474","","","","13.9","","27.5","","1.9","","12","","202","","185",""
"1993年","18000","福井県","418838","","","","13.9","","28.6","","1.2","","17","","215","","182",""
"1993年","19000","山梨県","446537","","","","14.2","","29.6","","-0.4","","41","","153","","87",""
"1993年","20000","長野県","1358522","","","","11.3","","27.4","","-3.2","","15","","159","","114",""
"1993年","21000","岐阜県","1059817","","","","15.1","","29.3","","1.6","","39","","153","","121",""
"1993年","22000","静岡県","777893","","","","16.0","","29.5","","3.3","","55","","153","","111",""
"1993年","23000","愛知県","514691","","","","15.0","","29.4","","1.8","","34","","138","","117",""
"1993年","24000","三重県","577452","","","","15.2","","28.2","","2.7","","26","","140","","117",""
"1993年","25000","滋賀県","401736","","","","13.9","","28.1","","1.5","","29","","182","","153",""
"1993年","26000","京都府","461238","","","","15.2","","30.3","","2.1","","11","","158","","122",""
"1993年","27000","大阪府","189079","","","","16.3","","30.8","","3.8","","13","","159","","112",""
"1993年","28000","兵庫県","838481","","","","15.5","","29.8","","2.8","","23","","140","","113",""
"1993年","29000","奈良県","369040","","","","14.3","","29.7","","0.7","","22","","180","","124",""
"1993年","30000","和歌山県","472373","","","","16.1","","30.4","","3.5","","19","","141","","103",""
"1993年","31000","鳥取県","350696","","","","14.3","","28.5","","2.0","","13","","198","","174",""
"1993年","32000","島根県","670605","","","","14.2","","26.6","","1.9","","16","","209","","160",""
"1993年","33000","岡山県","711074","","","","15.3","","29.4","","1.8","","24","","148","","115",""
"1993年","34000","広島県","847421","","","","15.7","","29.4","","2.6","","31","","134","","104",""
"1993年","35000","山口県","610969","","","","14.9","","28.7","","1.4","","34","","175","","124",""
"1993年","36000","徳島県","414423","","","","16.0","","29.5","","3.6","","24","","132","","107",""
"1993年","37000","香川県","187507","","","","15.7","","29.6","","2.1","","24","","131","","110",""
"1993年","38000","愛媛県","567436","","","","15.8","","29.6","","2.8","","26","","146","","114",""
"1993年","39000","高知県","710408","","","","16.4","","30.5","","2.6","","50","","123","","124",""
"1993年","40000","福岡県","496675","","","","16.3","","28.6","","4.5","","30","","158","","124",""
"1993年","41000","佐賀県","243893","","","","16.0","","29.6","","2.8","","41","","169","","115",""
"1993年","42000","長崎県","408986","","","","16.6","","29.0","","4.7","","29","","150","","123",""
"1993年","43000","熊本県","740202","","","","16.2","","30.1","","2.3","","34","","153","","124",""
"1993年","44000","大分県","633700","","","","15.6","","28.6","","2.5","","35","","148","","107",""
"1993年","45000","宮崎県","773360","","","","17.2","","30.8","","4.2","","57","","128","","129",""
"1993年","46000","鹿児島県","918579","","","","17.7","","31.0","","4.7","","30","","156","","141",""
"1993年","47000","沖縄県","226520","","","","23.1","","31.9","","14.5","","12","","139","","104",""
"1994年","01000","北海道","7841517","","","","9.5","","29.3","","-8.3","","10","","145","","143",""
"1994年","02000","青森県","960638","","","","11.1","","30.4","","-4.6","","11","","178","","158",""
"1994年","03000","岩手県","1527530","","","","10.8","","31.7","","-5.7","","20","","142","","96",""
"1994年","04000","宮城県","728459","","","","13.1","","30.8","","-1.4","","22","","109","","80",""
"1994年","05000","秋田県","1161284","","","","12.1","","31.0","","-3.2","","19","","175","","150",""
"1994年","06000","山形県","932332","","","","12.4","","33.7","","-3.3","","18","","151","","120",""
"1994年","07000","福島県","1378182","","","","13.8","","33.6","","-1.4","","16","","127","","95",""
"1994年","08000","茨城県","609356","","","","14.3","","32.1","","-1.9","","47","","116","","104",""
"1994年","09000","栃木県","640828","","","","14.5","","32.9","","-2.7","","45","","128","","99",""
"1994年","10000","群馬県","636318","","","","15.4","","34.0","","-0.8","","48","","102","","93",""
"1994年","11000","埼玉県","379733","","","","15.6","","34.3","","-0.7","","60","","138","","92",""
"1994年","12000","千葉県","515592","","","","16.4","","32.6","","1.6","","51","","144","","96",""
"1994年","13000","東京都","218645","","","","16.9","","32.9","","2.1","","42","","132","","91",""
"1994年","14000","神奈川県","241327","","","","16.4","","32.6","","1.9","","35","","135","","105",""
"1994年","15000","新潟県","1258174","","","","14.5","","33.4","","-0.1","","22","","165","","150",""
"1994年","16000","富山県","424647","","","","14.7","","34.1","","-0.8","","17","","168","","160",""
"1994年","17000","石川県","418480","","","","15.3","","32.4","","0.4","","32","","152","","160",""
"1994年","18000","福井県","418838","","","","15.2","","34.2","","-0.4","","34","","164","","154",""
"1994年","19000","山梨県","446537","","","","15.5","","34.9","","-1.7","","41","","122","","79",""
"1994年","20000","長野県","1358522","","","","12.7","","34.2","","-4.2","","21","","119","","85",""
"1994年","21000","岐阜県","1059817","","","","16.7","","35.2","","0.3","","43","","111","","83",""
"1994年","22000","静岡県","777894","","","","17.2","","32.0","","1.8","","51","","132","","96",""
"1994年","23000","愛知県","514923","","","","16.6","","35.1","","0.4","","30","","99","","85",""
"1994年","24000","三重県","577452","","","","16.7","","32.9","","1.8","","37","","107","","69",""
"1994年","25000","滋賀県","401736","","","","15.4","","33.7","","0.5","","39","","144","","103",""
"1994年","26000","京都府","461238","","","","16.7","","35.7","","1.1","","18","","109","","83",""
"1994年","27000","大阪府","189163","","","","17.7","","35.0","","2.7","","25","","102","","74",""
"1994年","28000","兵庫県","838491","","","","16.9","","34.3","","1.9","","23","","98","","65",""
"1994年","29000","奈良県","369040","","","","15.7","","35.4","","-0.7","","25","","134","","71",""
"1994年","30000","和歌山県","472375","","","","17.3","","34.2","","2.1","","30","","92","","74",""
"1994年","31000","鳥取県","350696","","","","15.6","","35.0","","0.8","","24","","146","","132",""
"1994年","32000","島根県","670607","","","","15.5","","34.4","","0.8","","22","","159","","132",""
"1994年","33000","岡山県","711081","","","","16.8","","34.6","","0.7","","37","","116","","59",""
